# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
1.549999999999998490e+00,3.301588230207562447e+01,3.948193947327049358e+01,2.575024338926688117e+01,9.951061310352435612e+03,2.780376517577147411e+02,3.911183176700053110e+01,4.107782056265877300e-03,1.154506973341717507e-01,8.088359566955427908e+02,8.668810421879166097e+04,1.057460951903589130e+00,2.855785020491954924e+02
1.574999999999998401e+00,3.401097699068486691e+01,4.012562153959827782e+01,2.574728231012248614e+01,9.951197445862411769e+03,2.779366500568185643e+02,3.975927620943334517e+01,4.270591350583005132e-03,1.173628260040507215e-01,8.357510982931512444e+02,8.667788955168520624e+04,1.057354289190401309e+00,2.855736565522759633e+02
1.599999999999998312e+00,3.502216258831322193e+01,4.076920876430375529e+01,2.574348860951673501e+01,9.951335786659115911e+03,2.778356483559223875e+02,4.040697498874273919e+01,6.637808603570820309e-03,1.192757546331929680e-01,8.631134306228069590e+02,8.666750941511511337e+04,1.057245901069958860e+00,2.855687309005365364e+02
1.624999999999998224e+00,3.604943646583706141e+01,4.141268049441072918e+01,2.573886878603380168e+01,9.951476331729843878e+03,2.777346466550262107e+02,4.105491510783133435e+01,9.656250272402902221e-03,1.211894456919625079e-01,8.909226388178618663e+02,8.665696388506786025e+04,1.057135788452072012e+00,2.855637250498384105e+02
1.649999999999998135e+00,3.709279548004269600e+01,4.205601645365509711e+01,2.573343790785051155e+01,9.951619079980362585e+03,2.776336449541300340e+02,4.170308425235927530e+01,1.279667061979517829e-02,1.231038636657693502e-01,9.191783984178661058e+02,8.664625304364722979e+04,1.057023952312104109e+00,2.855586389577077284e+02
1.674999999999998046e+00,3.815223599132150412e+01,4.269919687436981093e+01,2.572721631853357849e+01,9.951764030235810424e+03,2.775326432532338572e+02,4.235147085261692013e+01,1.592732841823858367e-02,1.250189752377316166e-01,9.478803804696322004e+02,8.663537697900655621e+04,1.056910393690247529e+00,2.855534725833106791e+02
1.699999999999997957e+00,3.922775386832654476e+01,4.334220261973582922e+01,2.572022925166816165e+01,9.951911181242958264e+03,2.774316415523376804e+02,4.300006409297114374e+01,1.900387646803577621e-02,1.269347493166014529e-01,9.770282544819682471e+02,8.662433578517939895e+04,1.056795113689742882e+00,2.855482258873789760e+02
1.724999999999997868e+00,4.031934451218694448e+01,4.398501530698802497e+01,2.571250686906987681e+01,9.952060531671901117e+03,2.773306398514415037e+02,4.364885394463240686e+01,2.200658102558664120e-02,1.288511571335373140e-01,1.006621692515233462e+03,8.661312956195264996e+04,1.056678113475535641e+00,2.855428988321566521e+02
1.749999999999997780e+00,4.142700287792831659e+01,4.462761743228612943e+01,2.570408432738046045e+01,9.952212080119377788e+03,2.772296381505453269e+02,4.429783121917529343e+01,2.492455012517358001e-02,1.307681724001649171e-01,1.036660374365211965e+03,8.660175841461749224e+04,1.056559394271662233e+00,2.855374913812888167e+02
1.774999999999997691e+00,4.255072349123656750e+01,4.526999249656888935e+01,2.569500181739591937e+01,9.952365825111153754e+03,2.771286364496491501e+02,4.494698758203068678e+01,2.775065572144496881e-02,1.326857713484817791e-01,1.067143991074194446e+03,8.659022245379029482e+04,1.056438957359365771e+00,2.855320034997421885e+02
