# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
1.600000000000000000e+01,3.939934771921718038e+03,3.186237861917740588e+02,1.900634923238576235e+01,6.643702382294433846e+03,1.788409581651982876e+02,9.652190686862059943e-01,8.328170239976350198e-01
1.625000000000000000e+01,4.020182854938071159e+03,3.233579837551948231e+02,1.893679025368303215e+01,6.653986098155003674e+03,1.781848374538188295e+02,9.807880685866864345e-01,8.259258234259345688e-01
1.650000000000000000e+01,4.101612499489099719e+03,3.280763181641718802e+02,1.887333763590820368e+01,6.664341327205830567e+03,1.775287167424393715e+02,9.963495058710848395e-01,8.189759860951486559e-01
1.675000000000000000e+01,4.184219747189396912e+03,3.327788566462860445e+02,1.881015392845674228e+01,6.674764127172309600e+03,1.768725960310598850e+02,1.011908794643733289e+00,8.119696424460244311e-01
1.700000000000000000e+01,4.268000660214440359e+03,3.374657002681864242e+02,1.874737448760159353e+01,6.685250654987561575e+03,1.762164753196803986e+02,1.027466865434216947e+00,8.049089246060638914e-01
1.725000000000000000e+01,4.352951330699679602e+03,3.421369875664701112e+02,1.868514919313479439e+01,6.695797077830357921e+03,1.755603546083009405e+02,1.043024757964663429e+00,7.977959649005935683e-01
1.750000000000000000e+01,4.439068263686973296e+03,3.467984377327475158e+02,1.864580066510972500e+01,6.706399575953116255e+03,1.749042338969214825e+02,1.058583633315013373e+00,7.906328943220446437e-01
1.775000000000000000e+01,4.526350473435073582e+03,3.514629827584049622e+02,1.865818010262973559e+01,6.717054345543841919e+03,1.742481131855419960e+02,1.074161949256859927e+00,7.834218098693414012e-01
1.800000000000000000e+01,4.614799454946250989e+03,3.561339657213006831e+02,1.868393185158297243e+01,6.727757647713749975e+03,1.735919924741625096e+02,1.089800645068817131e+00,7.761646013017081680e-01
1.825000000000000000e+01,4.704417189490408418e+03,3.608133367061019499e+02,1.871748393920503517e+01,6.738506064837516533e+03,1.729358717627830515e+02,1.105511115786679266e+00,7.688629602078090874e-01
1.850000000000000000e+01,4.795205891464234810e+03,3.655020397190453423e+02,1.875481205177363009e+01,6.749296484332245200e+03,1.722797510514035935e+02,1.121300497118715933e+00,7.615185496857816982e-01
1.875000000000000000e+01,4.887168013577419515e+03,3.702010393735678235e+02,1.879599861808997474e+01,6.760125845928930175e+03,1.716236303400241070e+02,1.137172843709850500e+00,7.541330258125329422e-01
1.900000000000000000e+01,4.980306252523348121e+03,3.749113228513051013e+02,1.884113391094919976e+01,6.770991110036216924e+03,1.709675096286446205e+02,1.153132310878266953e+00,7.467080374337674575e-01
1.925000000000000000e+01,5.074623651556814366e+03,3.796351426694719180e+02,1.889527927266719942e+01,6.781889258308521676e+03,1.703113889172651625e+02,1.169183162512682950e+00,7.392452259430413175e-01
1.950000000000000000e+01,5.170123900886217598e+03,3.843750442333682145e+02,1.895960625558508639e+01,6.792817294221702468e+03,1.696552682058857044e+02,1.185333654703249806e+00,7.317462174152192800e-01
1.975000000000000000e+01,5.266811276865943910e+03,3.891326332437375868e+02,1.903035604147760296e+01,6.803772254795626395e+03,1.689991474945062180e+02,1.201593025961274375e+00,7.242125995891152135e-01
2.000000000000000000e+01,5.364690366420801183e+03,3.939091631966318801e+02,1.910611981157713046e+01,6.814751244198169843e+03,1.683430267831267315e+02,1.217967646710097274e+00,7.166459281509077739e-01
